profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Wed May 14 01:42:39 2025

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
    0.578475	     28.2761	     28.2761	         844	 0.000685397	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=4,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 91.79 Gflop/s, 131.57 GB/s, tuning took 0.011033 seconds at Wed May 14 01:13:35 2025
    0.570409	     27.8819	      56.158	         844	  0.00067584	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=4,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 90.76 Gflop/s, 133.43 GB/s, tuning took 0.010902 seconds at Wed May 14 01:13:34 2025
    0.172178	     8.41617	     64.5742	        4924	 3.49672e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=4,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 1799.25 Gflop/s, 674.72 GB/s, tuning took 0.002420 seconds at Wed May 14 01:13:33 2025
    0.161675	     7.90276	     72.4769	        4924	 3.28341e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=4,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 1868.23 Gflop/s, 718.55 GB/s, tuning took 0.002409 seconds at Wed May 14 01:13:33 2025
    0.152903	       7.474	     79.9509	         808	 0.000189237	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 83.12 Gflop/s, 119.13 GB/s, tuning took 0.004210 seconds at Wed Apr  2 16:47:09 2025
    0.150999	     7.38091	     87.3318	         808	  0.00018688	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 82.06 Gflop/s, 120.64 GB/s, tuning took 0.004159 seconds at Wed Apr  2 16:47:08 2025
    0.100762	     4.92528	     92.2571	         240	  0.00041984	        4x8x8x32	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=4,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 106.77 Gflop/s, 179.82 GB/s, tuning took 0.015426 seconds at Wed May 14 01:13:33 2025
   0.0681932	     3.33332	     95.5904	        4430	 1.53935e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 1021.77 Gflop/s, 383.17 GB/s, tuning took 0.002114 seconds at Wed Apr  2 16:47:08 2025
   0.0616253	     3.01227	     98.6027	        4430	 1.39109e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 1102.41 Gflop/s, 424.00 GB/s, tuning took 0.002138 seconds at Wed Apr  2 16:47:08 2025
   0.0285859	     1.39729	         100	         240	 0.000119108	        4x8x8x32	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 94.09 Gflop/s, 158.47 GB/s, tuning took 0.003390 seconds at Wed Apr  2 16:47:08 2025

# Total time spent in asynchronous execution = 2.04581 seconds
